,PS,MG,TS,ID_low,ID_high,CR,SM,HM,PM,SC,MS,CR_low,CR_high,PC, MeanACC, MeanAUC, MeanPrecision, MeanRecall, MeanF1Score,Mean depth,Mean length
count,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0
mean,758.5808383233533,256.09580838323353,382.08383233532936,5.209580838323354,11.778443113772456,0.01296060913173653,0.9610231336586826,0.012884377293413175,0.01263432234730539,0.0004931497005988023,0.9949007909760479,-467.09518499939526,537.2196196483652,5.39682634730539e-10,0.9130828399281437,0.9122460363532932,0.8969395318023953,0.9312929352035929,0.9108006753053893,31.795209580838325,376.1604790419162
std,135.7662914558637,30.09087311752702,73.9725944998008,1.3833447127630243,3.3856557756781784,0.008513694034895039,0.008685729467852198,0.008948212195828927,0.008924603649338206,0.00028712246303629795,0.0029684281646034636,295.26285818306155,292.56238546984184,2.432567211969162e-10,0.07673691328698798,0.07828167008185793,0.08935941699435783,0.08173985497487535,0.08437924877581243,7.764111198120178,245.65197464207841
min,505.0,200.0,252.0,3.0,7.0,0.001022301,0.950199341,0.00108797,0.001005823,1.2e-05,0.990053624,-998.2814439,1.144297405,1.08e-10,0.739880952,0.739667106,0.510778028,0.523701461,0.51675396,13.4,94.2
25%,644.0,233.0,316.5,4.0,9.0,0.005816791,0.954301866,0.0063270785,0.005609831,0.000209,0.9923120755,-697.08204615,304.67020405,3.445e-10,0.8339717515,0.834075967,0.820266602,0.8916057989999999,0.8397485145,27.2,227.1
50%,755.0,262.0,382.0,5.0,11.0,0.011408535,0.959338625,0.010762016,0.009899887,0.000528,0.994873263,-479.4201576,560.4633101,5.19e-10,0.946699206,0.948102079,0.921252561,0.967571928,0.944676713,31.4,317.6
75%,870.0,284.0,446.5,6.0,15.0,0.0182141555,0.9663796605,0.018460207,0.018541478,0.0007394999999999999,0.997449714,-204.1270321,765.6463339,7.665e-10,0.983369765,0.983582409,0.9753434985,0.990022986,0.982924491,35.6,424.9
max,999.0,300.0,499.0,7.0,18.0,0.036103954,0.99172436,0.042201639,0.037249061,0.000999,0.999894163,-0.465165989,991.0318755,9.94e-10,0.998484848,0.998275862,0.997368421,1.0,0.998666667,65.4,1698.8
