PS,MG,TS,ID_low,ID_high,CR,SM,HM,PM,SC,MS,CR_low,CR_high,PC,MeanPrecision
774,239,299,4,14,0.004835156,0.961644147,0.017580999,0.015347464,0.000591,0.997627556,-479.4201576,904.5346627,1.21E-10,0.817099733
595,289,358,7,13,0.015106553,0.957193362,0.023043391,0.003839132,0.000277,0.994085287,-575.2917363,2.416066146,8.93E-10,0.837875897
787,262,475,4,18,0.002886515,0.9580781,0.031085785,0.007525616,0.000886,0.990108742,-545.3414043,549.9913107,2.68E-10,0.818597558
619,213,277,3,16,0.02939786,0.955875169,0.00976841,0.004116296,0.000966,0.992595799,-53.54036942,915.981098,8.84E-10,0.669860747
770,293,493,6,9,0.010631527,0.970813438,0.00769556,0.010181201,0.000515,0.9906156,-917.3212393,509.9370161,1.56E-10,0.874744098
877,256,269,6,18,0.005699988,0.953291865,0.01001422,0.030053362,0.000589,0.990482967,-181.7125637,687.6172522,7.72E-10,0.871544827
627,253,314,4,8,0.015169055,0.954523907,0.00173572,0.027751013,0.000558,0.996630127,-374.7412537,789.6977427,7.75E-10,0.877941408
839,280,252,3,9,0.016242924,0.974168767,0.002426288,0.006641709,0.000788,0.995500875,-78.38720659,125.9935268,7.16E-10,0.867839229
931,208,459,6,8,0.012457849,0.961511731,0.019171513,0.006636315,0.000192,0.990099994,-665.7086076,170.7475145,7.79E-10,0.914588778
829,248,382,7,18,0.022712181,0.960869123,0.006456696,0.009576138,0.000508,0.990538808,-192.8452903,421.8512202,7.50E-10,0.917699547
748,265,373,7,8,0.023427802,0.953686584,0.004157985,0.018465266,0.000317,0.996548914,-757.6422091,87.05867007,6.79E-10,0.898636316
765,285,462,6,8,0.004136025,0.956880453,0.019511453,0.018952265,0.000399,0.992401994,-523.7295507,552.9760283,8.94E-10,0.860151175
629,285,354,7,16,0.001186242,0.956222221,0.007883466,0.033745773,0.000966,0.993161907,-555.261414,560.4633101,4.89E-10,0.865815606
693,298,448,6,13,0.010863642,0.955976528,0.021724662,0.010473987,0.000161,0.992817076,-120.9421536,649.8061784,3.29E-10,0.903653535
611,284,499,6,8,0.00529719,0.970083545,0.003621384,0.020396934,0.000181,0.992520327,-446.6329439,4.102943259,1.18E-10,0.889470722
869,284,344,7,9,0.002698393,0.967473634,0.026275065,0.002830133,0.000148,0.999097643,-685.8608594,738.1140847,3.49E-10,0.89776974
665,203,436,5,12,0.011486872,0.954482914,0.016488048,0.017446312,0.000499,0.991043239,-322.3877832,620.6733691,7.49E-10,0.972967341
956,290,294,5,17,0.036103954,0.954673226,0.003033597,0.00537974,0.000743,0.997099372,-154.3317008,439.0847979,1.22E-10,0.960615344
825,290,397,4,10,0.033045386,0.952115901,0.012222497,0.002221846,0.000956,0.994647605,-737.0963123,889.7935035,5.64E-10,0.961203498
896,272,433,6,7,0.011240556,0.976308526,0.00225149,0.0096843,0.000312,0.999620929,-44.52138499,588.7634089,6.07E-10,0.965174129
574,253,377,5,9,0.00325408,0.9660758,0.020122903,0.009635422,9.90E-05,0.992152086,-546.3213516,735.588577,3.51E-10,0.977643953
966,298,445,5,17,0.023988981,0.95811221,0.003726262,0.013764144,0.000371,0.991220312,-444.3668635,972.2091745,9.63E-10,0.978651895
695,268,453,7,7,0.006417348,0.970724291,0.00462564,0.017972076,0.0007,0.992682629,-15.31613651,521.2508404,8.32E-10,0.972964774
944,285,371,6,7,0.021141565,0.96227547,0.006374875,0.009409607,0.000306,0.997323544,-846.7539701,682.0918908,4.32E-10,0.955446178
705,300,450,3,11,0.016685816,0.959991527,0.013363864,0.009159397,8.50E-05,0.991946578,-988.3637333,193.3924499,1.28E-10,0.97412518
851,293,365,4,10,0.004792496,0.950278576,0.009940328,0.03451748,0.000819,0.991475019,-219.6244398,247.6764262,4.40E-10,0.948204399
683,278,419,7,7,0.033031845,0.95115958,0.005582702,0.00959737,0.000546,0.994108309,-319.8868603,878.8041268,7.85E-10,0.959954236
641,271,478,4,12,0.029657083,0.956138944,0.010990045,0.002801817,0.000348,0.998829896,-390.0926243,552.0324941,9.58E-10,0.937693819
672,262,386,5,9,0.024248241,0.953326908,0.009935736,0.012216206,0.000209,0.99273923,-694.0504579,536.6774883,2.66E-10,0.938713287
814,269,257,6,15,0.013222401,0.968255297,0.008785032,0.008919791,0.000545,0.997261949,-957.1597864,903.2362526,1.96E-10,0.955675539
857,272,292,7,10,0.031261458,0.959338625,0.003200916,0.005850197,0.000593,0.991305211,-69.66749078,711.5294007,5.62E-10,0.974528668
809,271,274,6,13,0.012873691,0.95202354,0.030673782,0.003925051,0.000924,0.994082098,-621.8990896,953.2149874,1.08E-10,0.969074712
719,230,412,7,8,0.003435515,0.980065072,0.011449966,0.004626596,3.90E-05,0.993027502,-39.23285981,987.2241623,8.53E-10,0.975644679
695,226,488,4,9,0.01565275,0.962277056,0.009928332,0.012053096,0.000544,0.99748522,-792.7605999,427.7318736,5.39E-10,0.969144913
792,257,429,7,17,0.005933594,0.950584169,0.033890532,0.008679481,0.000923,0.99059048,-688.4518667,605.6878066,2.78E-10,0.959855617
854,285,378,6,12,0.006176789,0.968651664,0.013487209,0.011331686,0.000669,0.991485589,-561.2699806,680.2285652,5.58E-10,0.924850461
646,211,446,6,7,0.019346982,0.954120818,0.007901828,0.01861769,0.000228,0.991006202,-659.9619148,40.61069782,7.76E-10,0.976693834
685,220,371,5,14,0.02611989,0.950340552,0.012741382,0.010676867,0.000528,0.999276988,-55.07257303,837.1698811,8.22E-10,0.971126483
550,300,309,6,15,0.004294177,0.97834169,0.012644918,0.004572172,0.000209,0.998208148,-887.2397251,893.3361629,1.13E-10,0.912114771
737,248,307,7,16,0.01429219,0.953421763,0.029926245,0.002007148,0.000711,0.991095367,-291.0172486,665.8860143,3.30E-10,0.967406198
805,256,396,5,13,0.012742208,0.962103986,0.008548857,0.015732943,0.000557,0.999894163,-569.1303454,46.91428705,8.16E-10,0.981309836
857,240,336,3,13,0.007794276,0.958061356,0.005468423,0.02818904,0.000455,0.995230016,-493.992467,17.90092235,6.62E-10,0.963218759
976,225,377,4,9,0.011339664,0.971401425,0.012741026,0.003673621,0.000496,0.990053624,-415.290217,957.0008108,8.88E-10,0.971207959
959,299,403,3,17,0.016159813,0.970213183,0.002517797,0.011057665,6.30E-05,0.990182986,-402.7686045,289.7736571,2.67E-10,0.968460425
812,250,484,5,8,0.010879876,0.955957203,0.024663593,0.007925233,0.000236,0.994613475,-771.655826,841.3882368,2.54E-10,0.997368421
583,220,476,5,12,0.003466514,0.983277268,0.009205398,0.003386194,0.000282,0.990946308,-492.791181,672.2380459,5.19E-10,0.990042714
889,210,255,6,15,0.00411163,0.952386332,0.031456019,0.012023202,0.000109,0.993755166,-656.3730929,674.9719253,7.54E-10,0.991666667
597,277,290,7,12,0.001145289,0.95119207,0.012245545,0.034767654,0.000171,0.991570292,-369.9990314,83.31573076,2.80E-10,0.966739997
671,267,256,5,8,0.025495647,0.951280137,0.001282731,0.021248727,6.60E-05,0.991907408,-815.1645893,943.3613284,3.89E-10,0.988184697
748,202,432,7,12,0.020501034,0.965683693,0.005333411,0.008236687,0.000634,0.998163944,-569.3005398,144.8953408,8.68E-10,0.99260871
719,260,494,7,15,0.010604745,0.961593224,0.003906974,0.023090813,0.000553,0.994419136,-282.1563697,620.4162182,2.51E-10,0.987613706
675,233,469,6,9,0.004121938,0.984690219,0.005178309,0.005186476,0.000118,0.995017805,-76.81307342,448.9706435,2.06E-10,0.981866706
720,233,383,4,8,0.023409124,0.958553292,0.006937618,0.010284665,0.000787,0.997976599,-15.05796361,626.2091089,5.91E-10,0.9875
642,261,478,3,11,0.027942991,0.950276203,0.020271374,0.001455918,0.000803,0.994622197,-859.3323964,360.9132937,6.15E-10,0.989413861
743,273,416,7,14,0.00507841,0.966075685,0.025845692,0.00291531,0.000112,0.990384404,-449.839005,534.7834845,4.38E-10,0.977538576
678,205,277,7,15,0.018284072,0.953883239,0.018552154,0.008326531,0.000652,0.995703807,-918.5364053,248.59768,6.20E-10,0.988412534
596,273,470,4,11,0.013074257,0.955549534,0.001416133,0.029013634,0.000668,0.994111083,-148.01217,734.4492988,3.67E-10,0.990318841
909,216,306,4,17,0.016848132,0.957012532,0.015402375,0.009766495,0.000799,0.994244891,-478.3804563,413.4561546,1.34E-10,0.994139116
758,215,268,6,10,0.007986193,0.965399036,0.023682642,0.002641714,0.00019,0.992415136,-532.5203188,321.4112491,2.37E-10,0.983990573
939,270,463,7,12,0.009409615,0.956188336,0.010207276,0.024171993,0.000355,0.99063878,-769.795672,722.6053804,8.25E-10,0.972808511
878,284,404,5,17,0.005546097,0.956577627,0.026580011,0.010837575,0.000598,0.993452656,-84.51274588,420.4871702,3.83E-10,0.984547337
640,231,377,3,13,0.004305643,0.977147735,0.012703806,0.00503032,0.000195,0.991987859,-334.5165466,106.5870689,7.75E-10,0.976660232
636,200,277,5,16,0.00980518,0.961967658,0.004970254,0.02256726,0.000629,0.995879799,-543.9492045,665.8036349,2.02E-10,0.988171186
874,291,299,4,17,0.027709015,0.95024528,0.001208644,0.020016207,0.000354,0.997576255,-135.8971613,841.5539072,1.72E-10,0.976832764
589,250,269,6,8,0.033415388,0.95332441,0.010762016,0.002472558,0.000866,0.998814198,-418.4677925,900.7906769,9.56E-10,0.967102419
570,212,475,3,16,0.006243522,0.95896012,0.008229974,0.026319747,0.000909,0.992222157,-855.5519442,545.1709745,5.17E-10,0.99110889
879,243,285,5,8,0.028214438,0.962272744,0.008412813,0.001067117,0.000961,0.99013198,-358.9959035,911.05951,4.22E-10,0.980615086
846,289,359,3,10,0.003947536,0.955890236,0.018599937,0.020569409,0.000191,0.997001815,-838.7840709,401.6217354,9.82E-10,0.969372082
774,277,412,6,15,0.007390483,0.963937736,0.009226346,0.019068944,0.000875,0.995612488,-669.6229453,939.2983158,4.58E-10,0.969467718
529,264,324,4,16,0.001501817,0.951957927,0.017255745,0.029176263,0.00059,0.999089637,-487.0939559,305.8486934,5.32E-10,0.958875408
996,296,370,5,8,0.001852955,0.956839639,0.004648041,0.036644938,0.000809,0.999319985,-526.7422903,362.731813,3.09E-10,0.980072581
564,220,321,6,18,0.016033404,0.959278814,0.009906335,0.013923969,0.000336,0.993451228,-154.3357539,704.764492,9.77E-10,0.978580549
755,200,396,7,11,0.013279365,0.954767979,0.023912899,0.008027036,0.000826,0.995770742,-470.3504043,860.7858571,2.04E-10,0.982133632
633,262,493,6,9,0.005295856,0.962836137,0.004571424,0.026550398,0.00093,0.990213348,-230.5719102,411.5802577,5.68E-10,0.971926781
985,210,310,7,7,0.02460153,0.951851431,0.010094997,0.012820578,0.000442,0.999059759,-407.693222,889.5936942,7.29E-10,0.968684878
827,278,486,4,7,0.00258964,0.99172436,0.001506017,0.003713032,0.000471,0.994822107,-18.42030489,708.3374072,4.78E-10,0.965343824
847,300,426,6,16,0.013456615,0.955824883,0.020123995,0.010240592,0.000595,0.99894103,-309.220313,423.1124433,3.40E-10,0.981662018
544,267,361,5,7,0.001026132,0.955407346,0.042201639,0.001095312,0.000586,0.998549123,-58.7358243,919.1021101,8.49E-10,0.992283207
852,219,314,6,17,0.001299484,0.972378075,0.015575755,0.009768061,0.000269,0.999132591,-24.66524226,734.8536988,7.53E-10,0.985854382
746,291,384,3,11,0.009809532,0.951817268,0.017881637,0.01953011,0.000119,0.999549958,-289.2496837,423.8276456,5.38E-10,0.976965475
821,285,319,3,10,0.017542099,0.973183716,0.00108797,0.007313571,0.000524,0.994965887,-651.6205314,734.6362929,7.99E-10,0.973120374
676,221,485,4,12,0.008519481,0.967227872,0.01227393,0.011631314,0.000183,0.995614862,-838.2048994,696.0277518,8.72E-10,0.96537193
959,291,461,3,14,0.010945296,0.956582405,0.021948481,0.009620921,0.000594,0.993283359,-519.7264742,93.26444986,4.17E-10,0.985968493
996,255,272,7,11,0.005169731,0.966971328,0.009759949,0.017910023,9.60E-05,0.994611275,-302.2565397,745.5913789,8.52E-10,0.973006964
793,231,494,7,8,0.008264466,0.969211572,0.002722212,0.01950549,0.000828,0.992450107,-274.3980191,680.2455958,3.16E-10,0.969200039
658,200,418,4,16,0.017813654,0.964096257,0.014317065,0.003283733,2.70E-05,0.995654862,-196.4995969,86.53186408,6.04E-10,0.982543103
658,261,457,4,18,0.014449567,0.952367734,0.006797436,0.02551865,0.000669,0.996230272,-891.9594174,504.8837268,1.97E-10,0.965072017
590,204,463,7,13,0.013078029,0.981088225,0.001377886,0.003984448,0.000106,0.995356805,-223.9657426,132.1460777,4.99E-10,0.976920828
673,283,421,7,7,0.007459604,0.967955756,0.01836826,0.006186212,3.50E-05,0.999294125,-629.101586,524.1936196,4.52E-10,0.969789638
716,235,436,7,10,0.006753046,0.959784272,0.019119787,0.014167866,0.000982,0.998783819,-303.9700982,36.89448362,4.54E-10,0.96861946
582,213,327,6,12,0.021190388,0.951581126,0.024183523,0.002671289,0.000323,0.994886623,-528.3242108,153.8494948,9.17E-10,0.981074434
936,233,398,4,15,0.021412717,0.966547395,0.00651324,0.00491113,0.000626,0.990460729,-583.8031464,931.5342667,8.49E-10,0.981333333
827,239,491,6,12,0.006613902,0.952578752,0.032267447,0.008322519,0.000125,0.994316184,-546.4011922,488.6751754,5.53E-10,0.9861247
725,297,317,4,13,0.006500412,0.967194034,0.01273777,0.013494914,9.70E-05,0.991701866,-836.4639869,466.9762283,5.30E-10,0.989513265
723,291,418,4,11,0.00345532,0.951704333,0.034234901,0.009860239,0.000987,0.994895558,-269.8633962,948.4235793,3.76E-10,0.971214947
576,297,429,3,11,0.009058474,0.956798173,0.018627636,0.015450409,4.60E-05,0.999199279,-709.8914223,965.2730897,3.76E-10,0.975042318
947,265,379,6,16,0.027219402,0.953777537,0.006064863,0.012655796,4.20E-05,0.997411801,-96.67468779,224.199924,9.81E-10,0.978144454
612,226,252,5,10,0.002714055,0.971122419,0.023683948,0.002450245,0.000138,0.998466969,-319.5810841,970.9863473,3.54E-10,0.986263827
971,248,260,6,12,0.017483581,0.966325141,0.006261981,0.008979634,0.000673,0.99259155,-569.5278743,442.7098335,2.22E-10,0.974749433
840,278,429,5,14,0.026107619,0.963191574,0.004583712,0.005658943,0.000791,0.994290299,-775.0442281,374.7593348,8.77E-10,0.97847131
