Dataset Name, Population size, Max Generations, TS, Init_dept_low, Init_depth_high, crossover, subtree mutation, Hoist mutation, Point mutation, stopping criteria, max Samples, ConstRange_low, ConstRange_high, parsimony coeff, MeanACC, StdACC, MeanAUC, StdAUC, MeanPrecision, StdPrecision, MeanRecall, StdRecall, MeanF1Score, StdF1Score, depthSE1, depthSE2, depthSE3,  depthSE4, depthSE5, lengthSE1, lengthSE2, lengthSE3,  lengthSE4, lengthSE5
MinMaxScaler + KMeansSMOTE_Class_3,695,268,453,7,7,0.006417348,0.970724291,0.00462564,0.017972076,0.0007,0.992682629,-15.31613651,521.2508404,8.32E-10,0.984046131,0.008949978,0.983755506,0.009217965,0.972964774,0.013386601,0.997222222,0.002777778,0.984837377,0.008259478,43,15,37,24,15,428,51,302,278,71
MinMaxScaler + SMOTE_Class_3,944,285,371,6,7,0.021141565,0.96227547,0.006374875,0.009409607,0.000306,0.997323544,-846.7539701,682.0918908,4.32E-10,0.973455739,0.017205739,0.975495893,0.015066511,0.955446178,0.028280799,0.990045972,0.008504753,0.97124151,0.019748366,43,32,29,36,14,2215,185,218,280,210
MinMaxScaler + SVMSMOTE_Class_3,705,300,450,3,11,0.016685816,0.959991527,0.013363864,0.009159397,8.50E-05,0.991946578,-988.3637333,193.3924499,1.28E-10,0.99,0.01,0.992106333,0.007893667,0.97412518,0.02587482,1,0,0.986591469,0.013408531,31,14,28,27,19,296,246,410,450,126
Normalizer + ADASYN_CLASS_3,851,293,365,4,10,0.004792496,0.950278576,0.009940328,0.03451748,0.000819,0.991475019,-219.6244398,247.6764262,4.40E-10,0.966067022,0.019143945,0.965893169,0.019175148,0.948204399,0.023904114,0.988333333,0.011666667,0.967668043,0.018042373,28,33,24,33,24,112,544,117,158,150
Normalizer +  BorderlineSMOTE_Class_3,683,278,419,7,7,0.033031845,0.95115958,0.005582702,0.00959737,0.000546,0.994108309,-319.8868603,878.8041268,7.85E-10,0.973479778,0.014056701,0.973230244,0.014219576,0.959954236,0.022397751,0.991011779,0.002786671,0.974759216,0.013068111,34,22,28,35,23,264,179,354,252,208
Normalizer + KMeansSMOTE_Class_3,641,271,478,4,12,0.029657083,0.956138944,0.010990045,0.002801817,0.000348,0.998829896,-390.0926243,552.0324941,9.58E-10,0.962946582,0.006648505,0.962419738,0.005695053,0.937693819,0.010706874,0.996602853,0.002008258,0.965269385,0.007087513,28,41,25,28,27,457,935,167,400,154
Normalizer + SMOTE_Class_3,672,262,386,5,9,0.024248241,0.953326908,0.009935736,0.012216206,0.000209,0.99273923,-694.0504579,536.6774883,2.66E-10,0.956021845,0.018233384,0.955821241,0.017747534,0.938713287,0.022171625,0.977844513,0.014698331,0.957458927,0.018678105,26,22,34,32,35,125,212,298,683,213
Normalizer + SVMSMOTE_Class_3,814,269,257,6,15,0.013222401,0.968255297,0.008785032,0.008919791,0.000545,0.997261949,-957.1597864,903.2362526,1.96E-10,0.970815998,0.017498691,0.971860714,0.016440111,0.955675539,0.023090805,0.988381287,0.010018713,0.97114483,0.017271781,25,24,51,48,30,482,151,416,679,203
PowerTransformer + ADASYN_CLASS_3,857,272,292,7,10,0.031261458,0.959338625,0.003200916,0.005850197,0.000593,0.991305211,-69.66749078,711.5294007,5.62E-10,0.986009615,0.013990385,0.98557123,0.01442877,0.974528668,0.025471332,1,0,0.986766398,0.013233602,21,27,25,20,23,359,556,317,146,228
PowerTransformer +  BorderlineSMOTE_Class_3,809,271,274,6,13,0.012873691,0.95202354,0.030673782,0.003925051,0.000924,0.994082098,-621.8990896,953.2149874,1.08E-10,0.983996535,0.008996535,0.984891867,0.007727181,0.969074712,0.017999443,1,0,0.983596669,0.009836181,28,23,45,25,43,299,366,227,486,391
PowerTransformer + KMeansSMOTE_Class_3,719,230,412,7,8,0.003435515,0.980065072,0.011449966,0.004626596,3.90E-05,0.993027502,-39.23285981,987.2241623,8.53E-10,0.984107595,0.015117211,0.984457863,0.014772907,0.975644679,0.024355321,0.993422688,0.00503885,0.984238009,0.01498979,35,24,20,34,21,268,222,172,241,84
PowerTransformer + SMOTE_Class_3,695,226,488,4,9,0.01565275,0.962277056,0.009928332,0.012053096,0.000544,0.99748522,-792.7605999,427.7318736,5.39E-10,0.974282026,0.017935872,0.973704556,0.018566794,0.969144913,0.02762928,0.980929487,0.006762821,0.974749861,0.017376123,21,42,73,26,21,181,550,506,133,431
PowerTransformer + SVMSMOTE_Class_3,792,257,429,7,17,0.005933594,0.950584169,0.033890532,0.008679481,0.000923,0.99059048,-688.4518667,605.6878066,2.78E-10,0.971108949,0.021108949,0.970668078,0.02153059,0.959855617,0.033744383,0.980989876,0.009561305,0.969934367,0.022129125,28,35,26,53,16,306,326,325,255,122
RobustScaler + ADASYN_CLASS_3,854,285,378,6,12,0.006176789,0.968651664,0.013487209,0.011331686,0.000669,0.991485589,-561.2699806,680.2285652,5.58E-10,0.9484375,0.0171875,0.948102079,0.017243031,0.924850461,0.022675773,0.981314859,0.006036722,0.95112,0.015602097,30,32,34,17,44,157,418,363,51,152
RobustScaler +  BorderlineSMOTE_Class_3,646,211,446,6,7,0.019346982,0.954120818,0.007901828,0.01861769,0.000228,0.991006202,-659.9619148,40.61069782,7.76E-10,0.983991975,0.012116975,0.983963574,0.012111722,0.976693834,0.015741453,0.989153439,0.010846561,0.982714274,0.013465895,26,17,42,34,38,399,201,1593,962,292
RobustScaler + KMeansSMOTE_Class_3,685,220,371,5,14,0.02611989,0.950340552,0.012741382,0.010676867,0.000528,0.999276988,-55.07257303,837.1698811,8.22E-10,0.983644867,0.014798713,0.984527032,0.01392258,0.971126483,0.025796594,0.996875,0.003125,0.983225064,0.015224549,31,35,40,22,31,211,281,437,155,403
RobustScaler + SMOTE_Class_3,550,300,309,6,15,0.004294177,0.97834169,0.012644918,0.004572172,0.000209,0.998208148,-887.2397251,893.3361629,1.13E-10,0.951386023,0.007347562,0.95360074,0.006349887,0.912114771,0.016961569,0.994166667,0.0025,0.950097464,0.01031313,51,19,36,23,33,343,236,425,173,240
RobustScaler + SVMSMOTE_Class_3,737,248,307,7,16,0.01429219,0.953421763,0.029926245,0.002007148,0.000711,0.991095367,-291.0172486,665.8860143,3.30E-10,0.97858926,0.00969503,0.979497938,0.008885564,0.967406198,0.01702741,0.989939394,0.002060606,0.978088978,0.010077684,16,48,26,20,27,51,332,375,130,288
StandardScaler + ADASYN_CLASS_3,805,256,396,5,13,0.012742208,0.962103986,0.008548857,0.015732943,0.000557,0.999894163,-569.1303454,46.91428705,8.16E-10,0.986009615,0.013990385,0.986060653,0.013939347,0.981309836,0.018690164,0.989978448,0.010021552,0.985384379,0.014615621,29,43,18,46,25,307,1137,298,890,243
StandardScaler +  BorderlineSMOTE_Class_3,857,240,336,3,13,0.007794276,0.958061356,0.005468423,0.02818904,0.000455,0.995230016,-493.992467,17.90092235,6.62E-10,0.978921449,0.013296449,0.979890697,0.012380573,0.963218759,0.021603145,0.996774194,0.003225806,0.978928183,0.013360565,33,31,15,36,21,449,327,109,399,87
StandardScaler + SMOTE_Class_3,976,225,377,4,9,0.011339664,0.971401425,0.012741026,0.003673621,0.000496,0.990053624,-415.290217,957.0008108,8.88E-10,0.983626908,0.011703831,0.984043083,0.011287269,0.971207959,0.019670783,0.997222222,0.002777778,0.98361729,0.011762516,33,20,36,18,17,346,196,190,151,106
StandardScaler + SVMSMOTE_Class_3,959,299,403,3,17,0.016159813,0.970213183,0.002517797,0.011057665,6.30E-05,0.990182986,-402.7686045,289.7736571,2.67E-10,0.978167278,0.012494201,0.980665726,0.009365938,0.968460425,0.01667471,0.988741752,0.009808973,0.977416314,0.014192077,33,45,39,67,25,812,769,289,669,176
MaxAbsScaler + ADASYN_CLASS_4,812,250,484,5,8,0.010879876,0.955957203,0.024663593,0.007925233,0.000236,0.994613475,-771.655826,841.3882368,2.54E-10,0.998484848,0.001515152,0.998275862,0.001724138,0.997368421,0.002631579,1,0,0.998666667,0.001333333,10,21,8,17,11,62,140,88,109,72
MaxAbsScaler +  BorderlineSMOTE_Class_4,583,220,476,5,12,0.003466514,0.983277268,0.009205398,0.003386194,0.000282,0.990946308,-492.791181,672.2380459,5.19E-10,0.994692638,0.003783547,0.994569026,0.003849329,0.990042714,0.007036178,1,0,0.994917365,0.003616725,9,16,22,12,31,34,137,90,68,182
MaxAbsScaler + SMOTE_Class_4,889,210,255,6,15,0.00411163,0.952386332,0.031456019,0.012023202,0.000109,0.993755166,-656.3730929,674.9719253,7.54E-10,0.995454545,0.004545455,0.995454545,0.004545455,0.991666667,0.008333333,1,0,0.995652174,0.004347826,14,42,25,42,42,260,348,329,335,509
MaxAbsScaler + SVMSMOTE_Class_4,597,277,290,7,12,0.001145289,0.95119207,0.012245545,0.034767654,0.000171,0.991570292,-369.9990314,83.31573076,2.80E-10,0.986593149,0.005751349,0.988961251,0.004689542,0.966739997,0.014706904,1,0,0.982981994,0.007564223,37,15,17,24,24,383,131,105,67,142
MinMaxScaler + ADASYN_CLASS_4,671,267,256,5,8,0.025495647,0.951280137,0.001282731,0.021248727,6.60E-05,0.991907408,-815.1645893,943.3613284,3.89E-10,0.993933633,0.003024542,0.993875198,0.003226251,0.988184697,0.005613753,1,0,0.994003244,0.00284715,24,17,21,20,18,172,181,118,106,262
MinMaxScaler +  BorderlineSMOTE_Class_4,748,202,432,7,12,0.020501034,0.965683693,0.005333411,0.008236687,0.000634,0.998163944,-569.3005398,144.8953408,8.68E-10,0.995804251,0.001911477,0.995768367,0.00192367,0.99260871,0.004383601,0.999224806,0.000775194,0.995868398,0.001843872,15,29,12,20,22,40,472,26,198,154
MinMaxScaler + KMeansSMOTE_Class_4,719,260,494,7,15,0.010604745,0.961593224,0.003906974,0.023090813,0.000553,0.994419136,-282.1563697,620.4162182,2.51E-10,0.990457481,0.00877916,0.989955546,0.009292574,0.987613706,0.010847833,0.993103448,0.006896552,0.990105542,0.009122257,42,24,13,40,13,259,224,94,378,32
MinMaxScaler + SMOTE_Class_4,675,233,469,6,9,0.004121938,0.984690219,0.005178309,0.005186476,0.000118,0.995017805,-76.81307342,448.9706435,2.06E-10,0.990469225,0.005713981,0.990426532,0.005767441,0.981866706,0.010624876,1,0,0.990724323,0.005484289,10,27,23,23,10,34,224,225,165,75
MinMaxScaler + SVMSMOTE_Class_4,720,233,383,4,8,0.023409124,0.958553292,0.006937618,0.010284665,0.000787,0.997976599,-15.05796361,626.2091089,5.91E-10,0.995603865,0.004396135,0.993717949,0.006282051,0.9875,0.0125,0.99,0.01,0.988070175,0.011929825,16,18,8,20,38,287,161,19,89,594
Normalizer + ADASYN_CLASS_4,642,261,478,3,11,0.027942991,0.950276203,0.020271374,0.001455918,0.000803,0.994622197,-859.3323964,360.9132937,6.15E-10,0.994681072,0.000741678,0.994783527,0.000765669,0.989413861,0.001378146,1,0,0.99463446,0.000707613,15,12,20,32,26,59,63,275,278,125
Normalizer +  BorderlineSMOTE_Class_4,743,273,416,7,14,0.00507841,0.966075685,0.025845692,0.00291531,0.000112,0.990384404,-449.839005,534.7834845,4.38E-10,0.988209715,0.003407851,0.988509343,0.003351311,0.977538576,0.007181433,0.999224806,0.000775194,0.98811253,0.003345046,22,21,42,15,14,132,216,292,48,70
Normalizer + SMOTE_Class_4,678,205,277,7,15,0.018284072,0.953883239,0.018552154,0.008326531,0.000652,0.995703807,-918.5364053,248.59768,6.20E-10,0.993929279,0.003020188,0.993783677,0.002969283,0.988412534,0.005891526,1,0,0.99413407,0.00300277,17,27,26,28,38,81,96,198,408,670
Normalizer + SVMSMOTE_Class_4,596,273,470,4,11,0.013074257,0.955549534,0.001416133,0.029013634,0.000668,0.994111083,-148.01217,734.4492988,3.67E-10,0.990059018,0.005980586,0.986648134,0.01029843,0.990318841,0.000985507,0.97979798,0.02020202,0.984393794,0.010126754,8,13,25,20,34,29,59,63,297,230
PowerTransformer + ADASYN_CLASS_4,909,216,306,4,17,0.016848132,0.957012532,0.015402375,0.009766495,0.000799,0.994244891,-478.3804563,413.4561546,1.34E-10,0.996934821,1.17E-05,0.996887112,1.21E-05,0.994139116,2.15E-05,1,0,0.997025981,1.11E-05,22,44,14,34,36,116,212,59,229,1341
PowerTransformer +  BorderlineSMOTE_Class_4,758,215,268,6,10,0.007986193,0.965399036,0.023682642,0.002641714,0.00019,0.992415136,-532.5203188,321.4112491,2.37E-10,0.991995943,0.007240698,0.992317973,0.006906833,0.983990573,0.014516889,1,0,0.991659608,0.007591329,39,22,17,20,33,253,217,103,49,282
PowerTransformer + KMeansSMOTE_Class_4,939,270,463,7,12,0.009409615,0.956188336,0.010207276,0.024171993,0.000355,0.99063878,-769.795672,722.6053804,8.25E-10,0.984420185,0.014816456,0.984795708,0.014452412,0.972808511,0.025653028,0.996875,0.003125,0.984403695,0.014824104,26,26,28,38,22,176,92,204,252,150
PowerTransformer + SMOTE_Class_4,878,284,404,5,17,0.005546097,0.956577627,0.026580011,0.010837575,0.000598,0.993452656,-84.51274588,420.4871702,3.83E-10,0.990780975,0.00616559,0.989514941,0.007360059,0.984547337,0.009655562,1,0,0.99199095,0.005067873,6,44,10,22,32,25,246,71,126,588
PowerTransformer + SVMSMOTE_Class_4,640,231,377,3,13,0.004305643,0.977147735,0.012703806,0.00503032,0.000195,0.991987859,-334.5165466,106.5870689,7.75E-10,0.9925,0.0045,0.994592727,0.003081691,0.976660232,0.01523166,1,0,0.987674624,0.008187445,22,14,14,14,24,196,56,117,59,76
RobustScaler + ADASYN_CLASS_4,636,200,277,5,16,0.00980518,0.961967658,0.004970254,0.02256726,0.000629,0.995879799,-543.9492045,665.8036349,2.02E-10,0.993559166,0.005680378,0.993204387,0.006038037,0.988171186,0.010313663,1,0,0.993970157,0.005269387,31,57,18,42,22,539,896,135,919,126
RobustScaler +  BorderlineSMOTE_Class_4,874,291,299,4,17,0.027709015,0.95024528,0.001208644,0.020016207,0.000354,0.997576255,-135.8971613,841.5539072,1.72E-10,0.984720413,0.009195937,0.983637733,0.010459127,0.976832764,0.012561175,0.99657477,0.001837928,0.986344759,0.007453691,30,13,18,15,49,269,102,105,102,598
RobustScaler + SMOTE_Class_4,589,250,269,6,8,0.033415388,0.95332441,0.010762016,0.002472558,0.000866,0.998814198,-418.4677925,900.7906769,9.56E-10,0.982455142,0.003853743,0.982634613,0.003636408,0.967102419,0.008540328,1,0,0.982866988,0.004261168,25,17,16,53,19,298,94,82,1359,140
RobustScaler + SVMSMOTE_Class_4,570,212,475,3,16,0.006243522,0.95896012,0.008229974,0.026319747,0.000909,0.992222157,-855.5519442,545.1709745,5.17E-10,0.99584022,0.002506887,0.996191718,0.002257894,0.99110889,0.005412849,1,0,0.995481629,0.002763985,16,18,37,17,17,83,150,214,97,71
StandardScaler + ADASYN_CLASS_4,879,243,285,5,8,0.028214438,0.962272744,0.008412813,0.001067117,0.000961,0.99013198,-358.9959035,911.05951,4.22E-10,0.990132792,0.000776299,0.990345869,0.00078461,0.980615086,0.000728899,1,0,0.990040601,0.000481766,31,14,21,15,11,395,75,483,100,64
StandardScaler +  BorderlineSMOTE_Class_4,846,289,359,3,10,0.003947536,0.955890236,0.018599937,0.020569409,0.000191,0.997001815,-838.7840709,401.6217354,9.82E-10,0.983575331,0.011081158,0.983684709,0.011052133,0.969372082,0.0203338,1,0,0.984101247,0.010615734,24,21,11,32,22,113,223,51,135,259
StandardScaler + SMOTE_Class_4,774,277,412,6,15,0.007390483,0.963937736,0.009226346,0.019068944,0.000875,0.995612488,-669.6229453,939.2983158,4.58E-10,0.983610385,0.007992669,0.983284648,0.008071999,0.969467718,0.014888918,1,0,0.984258588,0.007751952,56,58,16,33,27,1097,308,50,226,134
StandardScaler + SVMSMOTE_Class_4,529,264,324,4,16,0.001501817,0.951957927,0.017255745,0.029176263,0.00059,0.999089637,-487.0939559,305.8486934,5.32E-10,0.982437921,0.01365964,0.984431216,0.012509477,0.958875408,0.030700805,0.993333333,0.006666667,0.975436366,0.01926562,28,48,27,30,11,176,1260,141,241,61
MaxAbsScaler + ADASYN_CLASS_5,996,296,370,5,8,0.001852955,0.956839639,0.004648041,0.036644938,0.000809,0.999319985,-526.7422903,362.731813,3.09E-10,0.97467532,0.018573625,0.975038719,0.017943738,0.980072581,0.019927419,0.970077437,0.015887475,0.97443271,0.018294563,20,18,41,29,28,186,122,519,415,441
MaxAbsScaler +  BorderlineSMOTE_Class_5,564,220,321,6,18,0.016033404,0.959278814,0.009906335,0.013923969,0.000336,0.993451228,-154.3357539,704.764492,9.77E-10,0.981003004,0.011398484,0.980206508,0.012110502,0.978580549,0.013582344,0.987552181,0.00612361,0.982727294,0.010176681,38,31,31,36,25,786,832,1035,953,257
MaxAbsScaler + KMeansSMOTE_Class_5,755,200,396,7,11,0.013279365,0.954767979,0.023912899,0.008027036,0.000826,0.995770742,-470.3504043,860.7858571,2.04E-10,0.982270614,0.012666095,0.982775554,0.012321613,0.982133632,0.016171452,0.982697266,0.009191983,0.982257832,0.012820009,34,21,29,15,31,613,96,547,56,292
MaxAbsScaler + SMOTE_Class_5,633,262,493,6,9,0.005295856,0.962836137,0.004571424,0.026550398,0.00093,0.990213348,-230.5719102,411.5802577,5.68E-10,0.97883859,0.009347064,0.979979637,0.008110838,0.971926781,0.019564448,0.98638984,0.001845455,0.978542408,0.009431829,18,13,21,25,23,282,89,140,165,126
MaxAbsScaler + SVMSMOTE_Class_5,985,210,310,7,7,0.02460153,0.951851431,0.010094997,0.012820578,0.000442,0.999059759,-407.693222,889.5936942,7.29E-10,0.977583137,0.014814775,0.978388255,0.014073635,0.968684878,0.022924317,0.986497967,0.006690275,0.977097289,0.015226567,40,41,41,32,32,296,245,371,268,205
MinMaxScaler + ADASYN_CLASS_5,827,278,486,4,7,0.00258964,0.99172436,0.001506017,0.003713032,0.000471,0.994822107,-18.42030489,708.3374072,4.78E-10,0.969168991,0.009733963,0.967539572,0.0117577,0.965343824,0.016791301,0.978377348,0.001549391,0.971174038,0.007814555,22,14,33,19,23,140,60,164,133,125
MinMaxScaler +  BorderlineSMOTE_Class_5,847,300,426,6,16,0.013456615,0.955824883,0.020123995,0.010240592,0.000595,0.99894103,-309.220313,423.1124433,3.40E-10,0.983107345,0.016892655,0.982829686,0.017170314,0.981662018,0.018337982,0.987271421,0.012728579,0.984335052,0.015664948,31,19,29,36,38,419,253,853,489,311
MinMaxScaler + KMeansSMOTE_Class_5,544,267,361,5,7,0.001026132,0.955407346,0.042201639,0.001095312,0.000586,0.998549123,-58.7358243,919.1021101,8.49E-10,0.995792748,0.002515912,0.995879181,0.002440028,0.992283207,0.006036121,0.999166667,0.000833333,0.995660403,0.002658895,13,13,15,24,15,75,91,103,68,207
MinMaxScaler + SMOTE_Class_5,852,219,314,6,17,0.001299484,0.972378075,0.015575755,0.009768061,0.000269,0.999132591,-24.66524226,734.8536988,7.53E-10,0.979274476,0.016506115,0.979305869,0.016526277,0.985854382,0.012450703,0.973200551,0.020187878,0.979199129,0.016616771,30,36,35,35,20,264,408,429,661,333
MinMaxScaler + SVMSMOTE_Class_5,746,291,384,3,11,0.009809532,0.951817268,0.017881637,0.01953011,0.000119,0.999549958,-289.2496837,423.8276456,5.38E-10,0.977134735,0.014422871,0.976444539,0.015302282,0.976965475,0.021325124,0.979638813,0.005549744,0.97799928,0.013638466,29,25,27,39,28,306,250,214,784,283
Normalizer + ADASYN_CLASS_5,821,285,319,3,10,0.017542099,0.973183716,0.00108797,0.007313571,0.000524,0.994965887,-651.6205314,734.6362929,7.99E-10,0.960293571,0.007581706,0.959336384,0.008428217,0.973120374,0.014246316,0.945681938,0.001562891,0.95868648,0.007408717,44,35,23,28,24,336,539,193,257,141
Normalizer +  BorderlineSMOTE_Class_5,676,221,485,4,12,0.008519481,0.967227872,0.01227393,0.011631314,0.000183,0.995614862,-838.2048994,696.0277518,8.72E-10,0.970457699,0.004186512,0.970826591,0.004406842,0.96537193,0.001352079,0.972490991,0.008033078,0.968639519,0.004637968,24,21,22,19,26,135,187,77,129,188
Normalizer + KMeansSMOTE_Class_5,959,291,461,3,14,0.010945296,0.956582405,0.021948481,0.009620921,0.000594,0.993283359,-519.7264742,93.26444986,4.17E-10,0.982268826,0.012664307,0.982112883,0.012770955,0.985968493,0.012261596,0.978438295,0.012968726,0.981789676,0.013006607,20,30,32,63,22,260,277,246,581,239
Normalizer + SMOTE_Class_5,996,255,272,7,11,0.005169731,0.966971328,0.009759949,0.017910023,9.60E-05,0.994611275,-302.2565397,745.5913789,8.52E-10,0.977161196,0.014392834,0.976464791,0.015183286,0.973006964,0.018274045,0.982153483,0.009243707,0.97739211,0.013908441,29,50,43,25,25,234,661,411,193,149
Normalizer + SVMSMOTE_Class_5,793,231,494,7,8,0.008264466,0.969211572,0.002722212,0.01950549,0.000828,0.992450107,-274.3980191,680.2455958,3.16E-10,0.977611385,0.014786526,0.977618889,0.01487578,0.969200039,0.020655033,0.987163627,0.007689314,0.977814622,0.014449385,23,33,26,28,21,232,245,228,262,218
PowerTransformer + ADASYN_CLASS_5,658,200,418,4,16,0.017813654,0.964096257,0.014317065,0.003283733,2.70E-05,0.995654862,-196.4995969,86.53186408,6.04E-10,0.98220339,0.016101695,0.982262416,0.016042182,0.982543103,0.015732759,0.982772989,0.015502874,0.982600523,0.015675339,70,30,40,103,46,1328,360,1241,3016,588
PowerTransformer +  BorderlineSMOTE_Class_5,658,261,457,4,18,0.014449567,0.952367734,0.006797436,0.02551865,0.000669,0.996230272,-891.9594174,504.8837268,1.97E-10,0.96419724,0.007926053,0.962989088,0.00838392,0.965072017,0.015959096,0.957376126,0.003595907,0.960976673,0.009705114,47,48,46,39,43,169,1170,251,392,305
PowerTransformer + KMeansSMOTE_Class_5,590,204,463,7,13,0.013078029,0.981088225,0.001377886,0.003984448,0.000106,0.995356805,-223.9657426,132.1460777,4.99E-10,0.979325967,0.002941786,0.9786306,0.00367359,0.976920828,0.001352646,0.98263531,0.00388531,0.979568404,0.002790477,39,20,24,27,50,219,104,107,99,194
PowerTransformer + SMOTE_Class_5,673,283,421,7,7,0.007459604,0.967955756,0.01836826,0.006186212,3.50E-05,0.999294125,-629.101586,524.1936196,4.52E-10,0.959477937,0.016879067,0.960452578,0.016011479,0.969789638,0.012161581,0.95067331,0.021363472,0.959567281,0.017258204,20,29,20,31,10,101,260,269,196,19
PowerTransformer + SVMSMOTE_Class_5,716,235,436,7,10,0.006753046,0.959784272,0.019119787,0.014167866,0.000982,0.998783819,-303.9700982,36.89448362,4.54E-10,0.971686691,0.005528499,0.971011367,0.006020833,0.96861946,0.006833948,0.975740741,0.000740741,0.971884189,0.003767136,52,23,28,23,27,647,170,191,141,200
RobustScaler + ADASYN_CLASS_5,582,213,327,6,12,0.021190388,0.951581126,0.024183523,0.002671289,0.000323,0.994886623,-528.3242108,153.8494948,9.17E-10,0.946699206,0.024608811,0.946543723,0.023786882,0.981074434,0.005873146,0.907793107,0.044097607,0.94075591,0.027917081,27,44,25,19,29,236,1133,176,123,154
RobustScaler +  BorderlineSMOTE_Class_5,936,233,398,4,15,0.021412717,0.966547395,0.00651324,0.00491113,0.000626,0.990460729,-583.8031464,931.5342667,8.49E-10,0.984752914,0.011871558,0.986028092,0.010501143,0.981333333,0.018666667,0.98683096,0.006227511,0.983551983,0.012939045,22,22,47,34,32,261,139,1081,630,441
RobustScaler + KMeansSMOTE_Class_5,827,239,491,6,12,0.006613902,0.952578752,0.032267447,0.008322519,0.000125,0.994316184,-546.4011922,488.6751754,5.53E-10,0.988615819,0.008841808,0.988131272,0.009339993,0.9861247,0.010456497,0.992233169,0.006042693,0.989035055,0.008389837,29,39,32,23,28,249,272,202,122,384
RobustScaler + SMOTE_Class_5,725,297,317,4,13,0.006500412,0.967194034,0.01273777,0.013494914,9.70E-05,0.991701866,-836.4639869,466.9762283,5.30E-10,0.98483766,0.011786813,0.984581319,0.012050215,0.989513265,0.008777334,0.980486286,0.014471697,0.984878456,0.011731713,39,23,29,31,20,361,374,472,599,86
RobustScaler + SVMSMOTE_Class_5,723,291,418,4,11,0.00345532,0.951704333,0.034234901,0.009860239,0.000987,0.994895558,-269.8633962,948.4235793,3.76E-10,0.970925409,0.018100551,0.971291586,0.017849137,0.971214947,0.01569674,0.972871748,0.01883075,0.97155882,0.017644191,28,36,32,44,17,197,184,142,275,153
StandardScaler + ADASYN_CLASS_5,576,297,429,3,11,0.009058474,0.956798173,0.018627636,0.015450409,4.60E-05,0.999199279,-709.8914223,965.2730897,3.76E-10,0.984774011,0.015225989,0.984319444,0.015680556,0.975042318,0.024957682,0.996875,0.003125,0.985684513,0.014315487,42,26,25,60,21,937,432,224,739,325
StandardScaler +  BorderlineSMOTE_Class_5,947,265,379,6,16,0.027219402,0.953777537,0.006064863,0.012655796,4.20E-05,0.997411801,-96.67468779,224.199924,9.81E-10,0.98562862,0.005911106,0.985555306,0.006234419,0.978144454,0.007810732,0.989831804,0.006498471,0.983814524,0.007252669,25,37,31,41,16,168,654,440,337,136
StandardScaler + KMeansSMOTE_Class_5,612,226,252,5,10,0.002714055,0.971122419,0.023683948,0.002450245,0.000138,0.998466969,-319.5810841,970.9863473,3.54E-10,0.98480226,0.01519774,0.984653022,0.015346978,0.986263827,0.013736173,0.983520115,0.016479885,0.984674419,0.015325581,32,22,30,36,27,370,170,404,299,211
StandardScaler + SMOTE_Class_5,971,248,260,6,12,0.017483581,0.966325141,0.006261981,0.008979634,0.000673,0.99259155,-569.5278743,442.7098335,2.22E-10,0.97212222,0.019410355,0.971410052,0.020117868,0.974749433,0.016584644,0.967026162,0.024307915,0.970495006,0.02083907,37,43,46,54,29,324,669,406,282,442
StandardScaler + SVMSMOTE_Class_5,840,278,429,5,14,0.026107619,0.963191574,0.004583712,0.005658943,0.000791,0.994290299,-775.0442281,374.7593348,8.77E-10,0.983164199,0.003333691,0.983527085,0.002903102,0.97847131,0.007590084,0.985799566,8.53E-05,0.981916526,0.004026697,21,45,32,18,17,177,498,182,97,166
