Dataset Name, Population size, Max Generations, TS, Init_dept_low, Init_depth_high, crossover, subtree mutation, Hoist mutation, Point mutation, stopping criteria, max Samples, ConstRange_low, ConstRange_high, parsimony coeff, MeanACC, StdACC, MeanAUC, StdAUC, MeanPrecision, StdPrecision, MeanRecall, StdRecall, MeanF1Score, StdF1Score, depthSE1, depthSE2, depthSE3,  depthSE4, depthSE5, lengthSE1, lengthSE2, lengthSE3,  lengthSE4, lengthSE5
MinMaxScaler + SMOTE_Class_1,714,209,461,5,12,0.020439335,0.974117747,0.003321044,0.002057223,0.000647,0.999650584,-709.2082921,256.3401252,6.49E-10,0.808522727,0.072159091,0.811851951,0.067687167,0.789961096,0.064589975,0.8965526,0.048754746,0.82930658,0.063926561,32,32,41,34,31,317,502,248,432,1141
MinMaxScaler + SVMSMOTE_Class_1,589,266,309,6,13,0.01343856,0.951492378,0.006600313,0.028136016,0.000999,0.996452119,-685.6536328,533.7910842,6.57E-10,0.784090909,0.079545455,0.786769495,0.076753422,0.764519972,0.080074256,0.81426052,0.06920767,0.784850214,0.076505901,29,36,50,24,39,375,484,472,451,352
Normalizer + ADASYN_CLASS_1,881,223,374,3,9,0.020816282,0.959199673,0.012380234,0.007443238,0.000628,0.998907593,-76.72305003,991.0318755,6.08E-10,0.739880952,0.049404762,0.740933165,0.04651393,0.726193218,0.043116295,0.718390703,0.05158398,0.71221586,0.052993664,45,32,32,41,32,243,342,148,242,137
Normalizer +  BorderlineSMOTE_Class_1,540,269,331,5,11,0.011408535,0.970176044,0.006611235,0.011182691,0.000719,0.994708587,-37.64766823,910.5527627,5.48E-10,0.769886364,0.088068182,0.766630129,0.092104992,0.786019536,0.094231906,0.754533306,0.089944995,0.75993817,0.098110972,43,28,28,40,39,606,314,436,535,326
Normalizer + KMeansSMOTE_Class_1,999,254,289,6,9,0.010900542,0.954824699,0.014413326,0.019675301,0.000849,0.998994976,-663.9431037,303.4917147,1.34E-10,0.845454545,0.063636364,0.844712919,0.064617164,0.865275447,0.062830631,0.823830165,0.068736997,0.839947765,0.06777037,42,40,34,42,46,419,300,282,336,483
Normalizer + SMOTE_Class_1,789,272,475,3,10,0.01192186,0.950722111,0.013361146,0.023531995,0.000858,0.996488228,-947.517146,788.3795328,9.86E-10,0.792613636,0.078977273,0.795543901,0.076569044,0.77977236,0.073305228,0.835829904,0.068505216,0.800698482,0.074067011,26,44,33,30,26,539,424,229,285,372
Normalizer + SVMSMOTE_Class_1,654,290,406,7,15,0.028514633,0.953150584,0.008258132,0.009617986,0.000563,0.995174538,-837.2460827,269.706969,3.32E-10,0.766477273,0.057386364,0.770073537,0.053476825,0.751536731,0.049468228,0.813321555,0.057963628,0.771140746,0.055706997,29,34,26,46,39,512,585,623,1047,969
PowerTransformer + ADASYN_CLASS_1,932,260,276,3,8,0.02297698,0.961496994,0.003983177,0.010770918,0.00055,0.994747366,-579.7439704,1.144297405,9.94E-10,0.870345831,0.07872967,0.870905786,0.078047833,0.85506058,0.089210778,0.877187469,0.072754391,0.859836059,0.087164544,37,61,36,26,27,1446,2088,654,817,192
PowerTransformer +  BorderlineSMOTE_Class_1,552,275,360,7,16,0.019920248,0.95789942,0.012801796,0.009093916,0.000208,0.994273359,-696.4653966,117.4671509,3.40E-10,0.792613636,0.05625,0.791969694,0.054828997,0.780934723,0.051775842,0.846461407,0.039085913,0.807600035,0.046952051,50,33,46,34,41,775,429,647,472,1172
PowerTransformer + KMeansSMOTE_Class_1,507,243,497,3,18,0.006923946,0.96721762,0.024151997,0.001005823,0.000394,0.999700297,-525.7502638,34.65289133,4.51E-10,0.784629344,0.046649546,0.782814237,0.047535606,0.794498392,0.050146996,0.754458016,0.044690514,0.768593085,0.049753036,28,39,22,34,42,311,454,105,270,427
PowerTransformer + SMOTE_Class_1,677,298,274,6,10,0.018795916,0.959739069,0.012336809,0.00886879,0.000566,0.99157577,-824.6077667,462.1006972,4.48E-10,0.832954545,0.055681818,0.836678819,0.052076108,0.847892709,0.052461473,0.821495646,0.063029212,0.82741006,0.063276597,28,39,16,43,53,254,585,148,584,713
PowerTransformer + SVMSMOTE_Class_1,834,234,327,5,14,0.013748551,0.950438947,0.017999383,0.016927853,0.000551,0.994159609,-0.465165989,532.6835645,4.53E-10,0.821022727,0.071022727,0.82119128,0.070943471,0.808418787,0.062382429,0.868910905,0.060399267,0.831768392,0.065752094,35,27,43,41,35,587,405,375,395,205
RobustScaler + ADASYN_CLASS_1,724,268,446,4,11,0.010076771,0.96190112,0.006380597,0.021006316,0.000906,0.997739786,-325.4506474,598.4392578,3.71E-10,0.778027919,0.072380078,0.776930803,0.065797861,0.751254126,0.062296644,0.901446387,0.049334586,0.8121065,0.060994963,24,36,28,22,28,287,140,223,86,224
